grid,basisofrecord,n_cells,pct_coverage,total_occurrences
grid10km,humanObservation,5791,82.87,127827176
grid10km,preservedSpecimen,5711,81.73,3782060
grid10km,materialSample,3391,48.53,2542895
grid10km,machineObservation,1451,20.76,66429
grid10km,fossilSpecimen,263,3.76,7622
grid10km,occurrence,1212,17.34,5447
grid10km,observation,38,0.54,1878
grid10km,livingSpecimen,463,6.63,1841
grid10km,materialCitation,253,3.62,647
grid50km,humanObservation,308,91.67,127827431
grid50km,preservedSpecimen,315,93.75,3783637
grid50km,materialSample,288,85.71,2543069
grid50km,machineObservation,224,66.67,66429
grid50km,fossilSpecimen,105,31.25,7622
grid50km,occurrence,249,74.11,5459
grid50km,observation,24,7.14,1878
grid50km,livingSpecimen,159,47.32,1839
grid50km,materialCitation,109,32.44,647
