grid,eeacellcode,last_ym,staleness_months,total_occurrences,priority_reason
grid10km,10kmE516N475,1820-08-01,2465,1,Not sampled in 205.4 years
grid10km,10kmE413N466,1844-12-01,2173,1,Not sampled in 181.1 years
grid10km,10kmE454N482,1856-08-01,2033,1,Not sampled in 169.4 years
grid10km,10kmE491N501,1859-07-01,1998,1,Not sampled in 166.5 years
grid10km,10kmE495N501,1859-09-01,1996,2,Not sampled in 166.3 years
grid10km,10kmE499N481,1864-08-01,1937,2,Not sampled in 161.4 years
grid10km,10kmE437N406,1867-04-01,1905,1,Not sampled in 158.8 years
grid10km,10kmE511N450,1869-07-01,1878,1,Not sampled in 156.5 years
grid10km,10kmE490N427,1869-11-01,1874,1,Not sampled in 156.2 years
grid10km,10kmE527N433,1870-06-01,1867,1,Not sampled in 155.6 years
grid10km,10kmE511N406,1871-08-01,1853,1,Not sampled in 154.4 years
grid10km,10kmE391N433,1873-06-01,1831,1,Not sampled in 152.6 years
grid10km,10kmE514N484,1874-09-01,1816,1,Not sampled in 151.3 years
grid10km,10kmE411N407,1875-07-01,1806,1,Not sampled in 150.5 years
grid10km,10kmE504N480,1875-08-01,1805,1,Not sampled in 150.4 years
grid10km,10kmE530N406,1876-02-01,1799,1,Not sampled in 149.9 years
grid10km,10kmE543N445,1876-05-01,1796,1,Not sampled in 149.7 years
grid10km,10kmE456N493,1876-07-01,1794,1,Not sampled in 149.5 years
grid10km,10kmE534N437,1877-12-01,1777,1,Not sampled in 148.1 years
grid10km,10kmE406N453,1877-12-01,1777,1,Not sampled in 148.1 years
grid10km,10kmE504N431,1878-01-01,1776,1,Not sampled in 148 years
grid10km,10kmE490N385,1878-07-01,1770,1,Not sampled in 147.5 years
grid10km,10kmE498N442,1879-05-01,1760,1,Not sampled in 146.7 years
grid10km,10kmE406N410,1880-10-01,1743,1,Not sampled in 145.2 years
grid10km,10kmE515N497,1881-08-01,1733,1,Not sampled in 144.4 years
grid10km,10kmE372N491,1881-08-01,1733,1,Not sampled in 144.4 years
grid10km,10kmE535N498,1881-08-01,1733,1,Not sampled in 144.4 years
grid10km,10kmE536N488,1881-08-01,1733,1,Not sampled in 144.4 years
grid10km,10kmE533N530,1881-08-01,1733,1,Not sampled in 144.4 years
grid10km,10kmE451N523,1881-09-01,1732,1,Not sampled in 144.3 years
grid10km,10kmE414N390,1882-08-01,1721,1,Not sampled in 143.4 years
grid10km,10kmE500N380,1882-08-01,1721,1,Not sampled in 143.4 years
