taxonID,scientificName,taxonRank,threatStatus,family,order,priority,n_cells_10km,n_cells_50km,total_occ_10km
urn:lsid:dyntaxa.se:Taxon:100330,Acanthobodilus immundus,species,CR,Scarabaeidae,Coleoptera,Threatened - Poorly Sampled,1,1,5
urn:lsid:dyntaxa.se:Taxon:5,Acer campestre,species,CR,Sapindaceae,Sapindales,Threatened - Poorly Sampled,1,1,2679
urn:lsid:dyntaxa.se:Taxon:6,Aconitum napellus,species,CR,Ranunculaceae,Ranunculales,Threatened - Poorly Sampled,1,1,379
urn:lsid:dyntaxa.se:Taxon:100181,Aelia rostrata,species,CR,Pentatomidae,Hemiptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:102368,Aethes tesserana,species,CR,Tortricidae,Lepidoptera,Threatened - Poorly Sampled,1,1,12
urn:lsid:dyntaxa.se:Taxon:17,Ajuga genevensis,species,CR,Lamiaceae,Lamiales,Threatened - Poorly Sampled,1,1,322
urn:lsid:dyntaxa.se:Taxon:17,Ajuga genevensis,species,CR,Lamiaceae,Lamiales,Threatened - Poorly Sampled,1,1,3
urn:lsid:dyntaxa.se:Taxon:17,Ajuga genevensis,species,CR,Lamiaceae,Lamiales,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:17,Ajuga genevensis,species,CR,Lamiaceae,Lamiales,Threatened - Poorly Sampled,1,1,3
urn:lsid:dyntaxa.se:Taxon:100244,Alopecosa cursor,species,CR,Lycosidae,Araneae,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:100277,Anchinia cristalis,species,CR,Depressariidae,Lepidoptera,Threatened - Poorly Sampled,1,1,12
urn:lsid:dyntaxa.se:Taxon:102665,Andrena chrysopyga,species,CR,Andrenidae,Hymenoptera,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:103125,Andrena morawitzi,species,CR,Andrenidae,Hymenoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:217879,Andvakia parva,species,CR,Andvakiidae,Actiniaria,Threatened - Poorly Sampled,1,1,3
urn:lsid:dyntaxa.se:Taxon:206063,Anguilla anguilla,species,CR,Anguillidae,Anguilliformes,Threatened - Poorly Sampled,1,1,32254
urn:lsid:dyntaxa.se:Taxon:57,Anomoloma albolutescens,species,CR,Amylocorticiaceae,Amylocorticiales,Threatened - Poorly Sampled,1,1,25
urn:lsid:dyntaxa.se:Taxon:100008,Anser erythropus,species,CR,Anatidae,Anseriformes,Threatened - Poorly Sampled,1,1,37242
urn:lsid:dyntaxa.se:Taxon:100008,Anser erythropus,species,CR,Anatidae,Anseriformes,Threatened - Poorly Sampled,1,1,1151
urn:lsid:dyntaxa.se:Taxon:249109,Anthothela grandiflora,species,CR,Anthothelidae,Alcyonacea,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:1965,Antrodiella citrinella,species,CR,Steccherinaceae,Polyporales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:78,Apium graveolens,species,CR,Apiaceae,Apiales,Threatened - Poorly Sampled,1,1,227
urn:lsid:dyntaxa.se:Taxon:386,Arctomia fascicularis,species,CR,Arctomiaceae,Baeomycetales,Threatened - Poorly Sampled,1,1,17
urn:lsid:dyntaxa.se:Taxon:100394,Arctophila bombiformis,species,CR,Syrphidae,Diptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:1725,Arenaria leptoclados,species,CR,Caryophyllaceae,Caryophyllales,Threatened - Poorly Sampled,1,1,144
urn:lsid:dyntaxa.se:Taxon:1767,Arthonia anombrophila,species,CR,Arthoniaceae,Arthoniales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:1975,Artomyces cristatus,species,CR,Auriscalpiaceae,Russulales,Threatened - Poorly Sampled,1,1,130
urn:lsid:dyntaxa.se:Taxon:102186,Asemum tenuicorne,species,CR,Cerambycidae,Coleoptera,Threatened - Poorly Sampled,1,1,9
