grid,taxonRank,basisofrecord,n_taxa,total_occurrences
grid10km,species,humanObservation,4064,38234899
grid10km,species,all,5240,38642961
grid10km,species,preservedSpecimen,5016,374069
grid10km,species,materialSample,622,26221
grid10km,species,machineObservation,90,7229
grid10km,species,livingSpecimen,26,114
grid10km,species,observation,51,198
grid10km,species,occurrence,30,137
grid10km,species,materialCitation,4,10
grid10km,subspecies,humanObservation,11,64118
grid10km,subspecies,all,14,72797
grid10km,subspecies,preservedSpecimen,13,8058
grid10km,species,fossilSpecimen,7,84
grid10km,subspecies,materialSample,3,620
grid10km,speciesAggregate,preservedSpecimen,6,160
grid10km,speciesAggregate,all,6,394
grid10km,speciesAggregate,humanObservation,3,234
grid10km,subspecies,observation,1,1
