grid,year,basisofrecord,total_occurrences.x,n_months,n_cells_sampled,total_occurrences.y
grid50km,1646,all,1,1,0,
grid50km,1646,humanObservation,1,1,0,
grid50km,1670,all,1,1,0,
grid50km,1670,humanObservation,1,1,0,
grid50km,1681,all,1,1,0,
grid50km,1681,humanObservation,1,1,0,
grid50km,1694,all,1,1,0,
grid50km,1694,humanObservation,1,1,0,
grid50km,1697,all,1,1,0,
grid50km,1697,humanObservation,1,1,0,
grid50km,1698,all,1,1,0,
grid50km,1698,humanObservation,1,1,0,
grid50km,1700,all,1,1,0,
grid50km,1700,humanObservation,1,1,0,
grid50km,1703,all,1,1,0,
grid50km,1703,humanObservation,1,1,0,
grid50km,1709,all,1,1,0,
grid50km,1709,humanObservation,1,1,0,
grid50km,1719,all,1,1,0,
grid50km,1719,preservedSpecimen,1,1,0,
grid50km,1729,all,3,1,0,
grid50km,1729,preservedSpecimen,3,1,0,
grid50km,1732,all,3,1,0,
grid50km,1732,humanObservation,3,1,0,
grid50km,1739,all,1,1,0,
grid50km,1739,humanObservation,1,1,0,
grid50km,1741,all,17,3,0,
grid50km,1741,humanObservation,17,3,0,
grid50km,1742,all,9,3,0,
grid50km,1742,humanObservation,9,3,0,
grid50km,1745,all,29,3,0,
grid50km,1745,humanObservation,29,3,0,
grid50km,1746,all,2,1,0,
grid50km,1746,humanObservation,2,1,0,
grid50km,1749,all,5,3,0,
grid50km,1749,humanObservation,5,3,0,
grid50km,1755,all,1,1,0,
grid50km,1755,preservedSpecimen,1,1,0,
grid50km,1756,all,1,1,0,
grid50km,1756,humanObservation,1,1,0,
grid50km,1758,all,1,1,0,
grid50km,1758,preservedSpecimen,1,1,0,
grid50km,1759,all,1,1,0,
grid50km,1759,humanObservation,1,1,0,
grid50km,1760,all,1,1,0,
grid50km,1760,humanObservation,1,1,0,
grid50km,1763,all,1,1,0,
grid50km,1763,humanObservation,1,1,0,
grid50km,1764,all,3,1,0,
grid50km,1764,humanObservation,3,1,0,
grid50km,1771,all,3,1,0,
grid50km,1771,humanObservation,2,1,0,
grid50km,1771,preservedSpecimen,1,1,0,
grid50km,1772,all,1,1,0,
grid50km,1772,preservedSpecimen,1,1,0,
grid50km,1773,all,13,3,0,
grid50km,1773,humanObservation,12,2,0,
grid50km,1773,preservedSpecimen,1,1,0,
grid50km,1774,all,51,2,0,
grid50km,1774,humanObservation,51,2,0,
grid50km,1775,all,1,1,0,
grid50km,1775,humanObservation,1,1,0,
grid50km,1777,all,1,1,0,
grid50km,1777,humanObservation,1,1,0,
grid50km,1778,all,2,1,0,
grid50km,1778,preservedSpecimen,2,1,0,
grid50km,1779,all,4,4,0,
grid50km,1779,humanObservation,2,2,0,
grid50km,1779,preservedSpecimen,2,2,0,
grid50km,1780,all,5,3,0,
grid50km,1780,humanObservation,5,3,0,
grid50km,1782,all,6,2,0,
grid50km,1782,humanObservation,6,2,0,
grid50km,1783,all,6,5,0,
grid50km,1783,humanObservation,6,5,0,
grid50km,1785,all,1,1,0,
grid50km,1785,preservedSpecimen,1,1,0,
grid50km,1787,all,2,2,0,
grid50km,1787,humanObservation,2,2,0,
grid50km,1788,all,1,1,0,
grid50km,1788,humanObservation,1,1,0,
grid50km,1790,all,74,8,0,
grid50km,1790,humanObservation,73,7,0,
grid50km,1790,preservedSpecimen,1,1,0,
grid50km,1791,all,6,3,0,
grid50km,1791,humanObservation,5,3,0,
grid50km,1791,preservedSpecimen,1,1,0,
grid50km,1793,all,1,1,0,
grid50km,1793,preservedSpecimen,1,1,0,
grid50km,1794,all,1,1,0,
grid50km,1794,preservedSpecimen,1,1,0,
grid50km,1797,all,4,2,0,
grid50km,1797,humanObservation,1,1,0,
grid50km,1797,preservedSpecimen,3,2,0,
grid50km,1798,all,5,3,0,
grid50km,1798,humanObservation,3,2,0,
grid50km,1798,preservedSpecimen,2,2,0,
grid50km,1799,all,2,2,0,
grid50km,1799,preservedSpecimen,2,2,0,
grid50km,1800,all,179,8,0,
grid50km,1800,humanObservation,135,2,0,
grid50km,1800,preservedSpecimen,44,7,0,
grid50km,1801,all,23,6,0,
grid50km,1801,humanObservation,1,1,0,
grid50km,1801,preservedSpecimen,22,6,0,
grid50km,1802,all,17,5,0,
grid50km,1802,preservedSpecimen,17,5,0,
grid50km,1803,all,15,6,0,
grid50km,1803,preservedSpecimen,15,6,0,
grid50km,1804,all,27,6,0,
grid50km,1804,humanObservation,3,2,0,
grid50km,1804,preservedSpecimen,24,6,0,
grid50km,1805,all,8,4,0,
grid50km,1805,humanObservation,2,2,0,
grid50km,1805,preservedSpecimen,6,3,0,
grid50km,1806,all,39,3,0,
grid50km,1806,preservedSpecimen,39,3,0,
grid50km,1807,all,54,7,0,
grid50km,1807,occurrence,1,1,0,
grid50km,1807,preservedSpecimen,53,7,0,
grid50km,1808,all,21,6,0,
grid50km,1808,humanObservation,1,1,0,
grid50km,1808,preservedSpecimen,20,6,0,
grid50km,1809,all,151,7,0,
grid50km,1809,humanObservation,1,1,0,
grid50km,1809,preservedSpecimen,150,7,0,
grid50km,1810,all,139,7,0,
grid50km,1810,humanObservation,49,6,0,
grid50km,1810,preservedSpecimen,90,6,0,
grid50km,1811,all,82,9,0,
grid50km,1811,humanObservation,69,5,0,
