grid,year,basisofrecord,n_families,total_occurrences
grid10km,1914,fossilSpecimen,39,599
grid10km,1929,fossilSpecimen,18,220
grid10km,1922,fossilSpecimen,17,177
grid10km,1935,fossilSpecimen,6,27
grid10km,1920,fossilSpecimen,22,128
grid10km,1893,fossilSpecimen,11,54
grid10km,1967,fossilSpecimen,17,80
grid10km,1905,fossilSpecimen,11,140
grid10km,1913,fossilSpecimen,45,456
grid10km,1988,fossilSpecimen,2,2
grid10km,1946,fossilSpecimen,11,25
grid10km,1907,fossilSpecimen,2,2
grid10km,1933,fossilSpecimen,1,6
grid10km,1930,fossilSpecimen,14,108
grid10km,1884,fossilSpecimen,13,351
grid10km,1909,fossilSpecimen,22,274
grid10km,1917,fossilSpecimen,12,70
grid10km,1921,fossilSpecimen,17,187
grid10km,1919,fossilSpecimen,19,86
grid10km,1923,fossilSpecimen,15,437
grid10km,1928,fossilSpecimen,22,325
grid10km,1932,fossilSpecimen,21,102
grid10km,1939,fossilSpecimen,11,113
grid10km,1918,fossilSpecimen,13,48
grid10km,1931,fossilSpecimen,12,207
grid10km,1943,fossilSpecimen,2,15
grid10km,1886,fossilSpecimen,17,189
grid10km,1916,fossilSpecimen,17,69
grid10km,1924,fossilSpecimen,8,23
grid10km,1937,fossilSpecimen,11,103
grid10km,1986,fossilSpecimen,4,26
grid10km,1969,fossilSpecimen,18,122
grid10km,1902,fossilSpecimen,5,7
grid10km,1894,fossilSpecimen,16,60
grid10km,1892,fossilSpecimen,11,26
grid10km,1889,fossilSpecimen,9,28
grid10km,1953,fossilSpecimen,24,83
grid10km,1949,fossilSpecimen,11,24
grid10km,1947,fossilSpecimen,17,45
grid10km,1927,fossilSpecimen,8,111
grid10km,1934,fossilSpecimen,3,14
grid10km,1936,fossilSpecimen,3,22
grid10km,1952,fossilSpecimen,5,12
grid10km,1890,fossilSpecimen,8,22
grid10km,1912,fossilSpecimen,7,10
grid10km,1887,fossilSpecimen,2,2
grid10km,1881,fossilSpecimen,1,1
grid10km,1898,fossilSpecimen,5,9
grid10km,1915,fossilSpecimen,4,5
grid10km,1891,fossilSpecimen,9,93
grid10km,1896,fossilSpecimen,12,52
grid10km,1957,fossilSpecimen,11,163
grid10km,1904,fossilSpecimen,9,64
grid10km,1895,fossilSpecimen,6,20
grid10km,1906,fossilSpecimen,4,9
grid10km,1885,fossilSpecimen,7,97
grid10km,1897,fossilSpecimen,2,13
grid10km,1925,fossilSpecimen,2,8
grid10km,1954,fossilSpecimen,17,132
grid10km,1908,fossilSpecimen,24,342
grid10km,1888,fossilSpecimen,3,16
grid10km,1944,fossilSpecimen,1,1
grid10km,1910,fossilSpecimen,6,9
grid10km,1938,fossilSpecimen,6,38
grid10km,1977,fossilSpecimen,4,5
grid10km,1979,fossilSpecimen,3,3
grid10km,1911,fossilSpecimen,1,2
grid10km,1940,fossilSpecimen,1,3
grid10km,1958,fossilSpecimen,7,69
grid10km,1951,fossilSpecimen,8,28
grid10km,1968,fossilSpecimen,11,70
grid10km,1982,fossilSpecimen,2,4
grid10km,1980,fossilSpecimen,2,20
grid10km,1970,fossilSpecimen,10,23
grid10km,1882,fossilSpecimen,7,154
grid10km,1880,fossilSpecimen,10,45
grid10km,1945,fossilSpecimen,11,33
grid10km,1960,fossilSpecimen,11,23
grid10km,1963,fossilSpecimen,7,172
grid10km,1989,fossilSpecimen,4,14
grid10km,1948,fossilSpecimen,3,13
grid10km,2008,fossilSpecimen,3,15
grid10km,1972,fossilSpecimen,9,65
grid10km,1974,fossilSpecimen,4,9
grid10km,1996,fossilSpecimen,6,23
grid10km,1964,fossilSpecimen,8,30
grid10km,1955,fossilSpecimen,2,5
grid10km,1956,fossilSpecimen,4,12
grid10km,1877,fossilSpecimen,1,1
grid10km,1962,fossilSpecimen,9,70
grid10km,1971,fossilSpecimen,4,5
grid10km,1976,fossilSpecimen,3,9
grid10km,1981,fossilSpecimen,2,3
grid10km,1966,fossilSpecimen,7,9
grid10km,1984,fossilSpecimen,4,8
grid10km,1883,fossilSpecimen,1,4
grid10km,1879,fossilSpecimen,1,7
grid10km,1926,fossilSpecimen,2,3
grid10km,1941,fossilSpecimen,4,30
grid10km,2011,fossilSpecimen,1,4
grid10km,1965,fossilSpecimen,7,47
grid10km,1978,fossilSpecimen,5,8
grid10km,1973,fossilSpecimen,2,2
grid10km,2021,fossilSpecimen,1,34
grid10km,1993,fossilSpecimen,1,1
grid10km,1975,fossilSpecimen,5,14
grid10km,2001,fossilSpecimen,1,57
grid10km,2002,fossilSpecimen,1,15
grid10km,2004,fossilSpecimen,1,1
grid10km,1959,fossilSpecimen,3,39
grid10km,1950,fossilSpecimen,1,1
grid10km,1827,fossilSpecimen,1,1
grid10km,1961,fossilSpecimen,3,26
grid10km,2007,fossilSpecimen,3,13
grid10km,2005,fossilSpecimen,2,8
grid10km,1942,fossilSpecimen,3,29
grid10km,1871,fossilSpecimen,1,24
grid10km,1914,all,655,19425
grid10km,1929,all,1002,24870
grid10km,1922,all,881,25482
grid10km,1935,all,1091,29500
grid10km,1920,all,621,17526
grid10km,1893,all,460,11348
grid10km,1967,all,1106,102539
grid10km,1905,all,640,15375
grid10km,1913,all,639,20557
grid10km,1988,all,1314,700738
grid10km,1946,all,1104,32105
grid10km,1907,all,572,14438
grid10km,1933,all,944,22896
grid10km,1930,all,944,27013
grid10km,1884,all,518,12604
grid10km,1909,all,648,15135
grid10km,1917,all,627,19610
grid10km,1921,all,756,18029
grid10km,1919,all,717,20448
grid10km,1923,all,736,24197
grid10km,1928,all,1028,28883
grid10km,1932,all,998,29154
grid10km,1939,all,886,25121
grid10km,1918,all,649,20076
grid10km,1931,all,936,21112
grid10km,1943,all,917,28898
grid10km,1886,all,520,12936
grid10km,1916,all,650,20602
grid10km,1924,all,757,21921
grid10km,1937,all,1039,39100
grid10km,1986,all,1229,626868
grid10km,1969,all,988,116609
grid10km,1902,all,528,13742
grid10km,1894,all,487,11126
grid10km,1892,all,562,12242
grid10km,1889,all,590,13147
grid10km,1953,all,895,32724
grid10km,1949,all,951,34819
grid10km,1947,all,999,31835
grid10km,1927,all,1108,32423
grid10km,1934,all,1145,31071
grid10km,1936,all,904,20894
grid10km,1952,all,894,35856
grid10km,1890,all,571,12743
grid10km,1912,all,655,18029
grid10km,1887,all,644,13661
grid10km,1881,all,458,9124
grid10km,1898,all,498,12310
grid10km,1915,all,712,19582
grid10km,1891,all,477,10667
grid10km,1896,all,554,9180
grid10km,1957,all,844,42333
grid10km,1904,all,542,13438
grid10km,1895,all,575,10414
grid10km,1906,all,546,14353
grid10km,1885,all,554,13293
grid10km,1897,all,540,10737
grid10km,1925,all,983,27857
grid10km,1954,all,890,48910
grid10km,1908,all,572,14376
grid10km,1888,all,555,12184
grid10km,1944,all,919,29603
grid10km,1910,all,681,17901
grid10km,1938,all,965,30549
grid10km,1977,all,1177,316316
grid10km,1979,all,1117,280652
grid10km,1911,all,637,15914
grid10km,1940,all,757,17734
grid10km,1958,all,843,34478
grid10km,1951,all,965,27572
grid10km,1968,all,1007,112559
grid10km,1982,all,1082,450440
grid10km,1980,all,1175,353247
grid10km,1970,all,1020,148465
