taxonID,scientificName,taxonRank,threatStatus,kingdom,phylum,class,order,family,establishmentMeans,scientific_std,matched_any,matched_grid10,matched_grid50,n_grids
urn:lsid:dyntaxa.se:TaxonName:19809,Abia brevicornis,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,"",abia brevicornis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:19812,Abia dorsalis,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,"",abia dorsalis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:19807,Abia nigricornis,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,"",abia nigricornis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:19811,Abia rossica,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,"",abia rossica,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:19813,Abia symballophthalma,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,"",abia symballophthalma,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:399958,Abortiporus wynneae,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,"",abortiporus wynneae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:399959,Abortiporus wynnei,species,"",Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,"",abortiporus wynnei,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:424702,Abraeus globulus,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,"",abraeus globulus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:47296,Abramis vimba,species,"",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,"",abramis vimba,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:145593,Abrephia compositella,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,"",abrephia compositella,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:2620,Abrothallus lobariellus,species,"",Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,Sclerococcaceae,"",abrothallus lobariellus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:2621,Abrothallus viduus,species,"",Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,Sclerococcaceae,"",abrothallus viduus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:157615,Absconditella modesta,species,"",Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,"",absconditella modesta,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:19179,Acalles navieresi,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,"",acalles navieresi,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:36224,Acalles parvulus,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,"",acalles parvulus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:115181,Acalles roboris,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,"",acalles roboris,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:36225,Acalles turbatus,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,"",acalles turbatus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:129970,Acanthiza trochiloides,species,"",Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,"",acanthiza trochiloides,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:243657,Acanthocnema latipennis,species,DD,Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,native,acanthocnema latipennis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:336730,Acanthocnema nigripes,species,"",Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,"",acanthocnema nigripes,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:395736,Acanthophysellum fennicum,species,"",Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,"",acanthophysellum fennicum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:1960,Acanthophysium fennicum,species,RE,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,native,acanthophysium fennicum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:142205,Acanthopyma gowerensis,species,"",Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,"",acanthopyma gowerensis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:128595,Acar nodulosa,species,"",Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,"",acar nodulosa,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:87332,Achroanthes monophyllos,species,"",Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,"",achroanthes monophyllos,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:269848,Achrysis unicolor,species,"",Animalia,Arthropoda,Insecta,Hymenoptera,Chrysididae,"",achrysis unicolor,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:465488,Acia crinalis,species,"",Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,"",acia crinalis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:161042,Acicula polita,species,"",Animalia,Mollusca,Gastropoda,Architaenioglossa,Aciculidae,"",acicula polita,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:107503,Acmaeops marginata,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,"",acmaeops marginata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:107504,Acmaeops smaragdula,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,"",acmaeops smaragdula,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:2595,Acolium lucidum,species,"",Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,"",acolium lucidum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:424144,Acolium lucidum,species,"",Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,"",acolium lucidum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:424072,Acolium notarisii,species,"",Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,"",acolium notarisii,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:102363,Acosmetia caliginosa,species,RE,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,native,acosmetia caliginosa,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:90159,Acritus atomarius,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,"",acritus atomarius,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:131202,Acrocercops hofmanniella,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,"",acrocercops hofmanniella,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:251461,Acrochaetium catenulatum,species,DD,Plantae,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,native,acrochaetium catenulatum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:27129,Acrochaetium densum,species,"",Plantae,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,"",acrochaetium densum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:32462,Acrochaetium polyidis,species,"",Plantae,Rhodophyta,Florideophyceae,Nemaliales,Liagoraceae,"",acrochaetium polyidis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:232526,Acrochaetium stilophorae,species,DD,Plantae,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,native,acrochaetium stilophorae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:125399,Acrognathus mandibularis,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,"",acrognathus mandibularis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:214214,Acrolepiopsis betulella,species,DD,Animalia,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,native,acrolepiopsis betulella,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:20936,Acrolocha striata,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,"",acrolocha striata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:250191,Acropsilus niger,species,DD,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,native,acropsilus niger,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:286163,Acrosorium reptans,species,"",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,"",acrosorium reptans,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:286164,Acrosorium uncinatum,species,"",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,"",acrosorium uncinatum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:10541,Acrothrix norvegica,species,"",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,"",acrothrix norvegica,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:10540,Acrothrix novae-angliae,species,"",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,"",acrothrix novae-angliae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:Taxon:102150,Actidium coarctatum,species,RE,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,native,actidium coarctatum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:96675,Actinotia hyperici,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,"",actinotia hyperici,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:117343,Adela amatella,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Adelidae,"",adela amatella,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:117344,Adela amurensis,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Adelidae,"",adela amurensis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:117354,Adela dumerilellus,species,"",Animalia,Arthropoda,Insecta,Lepidoptera,Adelidae,"",adela dumerilellus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:125407,Adelocera conspersa,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,"",adelocera conspersa,FALSE,FALSE,FALSE,0
