taxonID,scientificName,taxonRank,threatStatus,scientific_std,matched_any,matched_grid10,matched_grid50
urn:lsid:dyntaxa.se:Taxon:100181,Aelia rostrata,species,CR,aelia rostrata,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100225,Agriphila poliella,species,EN,agriphila poliella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:19,Albatrellus cristatus,species,EN,albatrellus cristatus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100270,Ampedus suecicus,species,VU,ampedus suecicus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:103096,Andrena batava,species,VU,andrena batava,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:103124,Andrena bluethgeni,species,EN,andrena bluethgeni,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:103125,Andrena morawitzi,species,CR,andrena morawitzi,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102673,Andrena nigrospina,species,VU,andrena nigrospina,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249109,Anthothela grandiflora,species,CR,anthothela grandiflora,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1965,Antrodiella citrinella,species,CR,antrodiella citrinella,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:2047,Aporpium canescens,species,VU,aporpium canescens,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100394,Arctophila bombiformis,species,CR,arctophila bombiformis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:83,Arctophila fulva,species,VU,arctophila fulva,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100977,Argynnis niobe,species,VU,argynnis niobe,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100399,Aricia nicias,species,VU,aricia nicias,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1767,Arthonia anombrophila,species,CR,arthonia anombrophila,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:234237,Ascidia prunum,species,VU,ascidia prunum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:101324,Atheta inquinula,species,VU,atheta inquinula,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:102383,Athrips amoenellus,species,EN,athrips amoenellus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:100433,Augasma aeratellum,species,EN,augasma aeratellum,FALSE,FALSE,FALSE
