grid,basisofrecord,n_cells,n_zero,pct_zero,n_low_q05,pct_low_q05,n_low_q10,pct_low_q10,total_occurrences
grid10km,all,7693,0,0,1353,17.59,1353,17.59,134239874
grid10km,fossilSpecimen,263,0,0,88,33.46,88,33.46,7622
grid10km,humanObservation,6303,0,0,676,10.73,676,10.73,127827874
grid10km,livingSpecimen,469,0,0,168,35.82,168,35.82,1847
grid10km,machineObservation,1451,0,0,747,51.48,747,51.48,66429
grid10km,materialCitation,253,0,0,154,60.87,154,60.87,647
grid10km,materialSample,3565,0,0,1256,35.23,1256,35.23,2543153
grid10km,observation,38,0,0,13,34.21,13,34.21,1878
grid10km,occurrence,1339,0,0,763,56.98,763,56.98,5574
grid10km,preservedSpecimen,6442,0,0,717,11.13,717,11.13,3784850
grid50km,all,332,0,0,20,6.02,36,10.84,134238009
grid50km,fossilSpecimen,105,0,0,33,31.43,33,31.43,7622
grid50km,humanObservation,308,0,0,19,6.17,32,10.39,127827428
grid50km,livingSpecimen,159,0,0,17,10.69,17,10.69,1839
grid50km,machineObservation,224,0,0,12,5.36,25,11.16,66429
grid50km,materialCitation,109,0,0,43,39.45,43,39.45,647
grid50km,materialSample,288,0,0,15,5.21,30,10.42,2543069
grid50km,observation,24,0,0,10,41.67,10,41.67,1878
grid50km,occurrence,250,0,0,48,19.2,48,19.2,5460
grid50km,preservedSpecimen,315,0,0,19,6.03,38,12.06,3783637
