taxonRank,threatStatus,n_ref,n_matched_any,n_missing,pct_missing
species,CR,275,235,40,14.55
species,DD,899,710,189,21.02
species,EN,873,768,105,12.03
species,NT,1754,1590,164,9.35
species,RE,212,146,66,31.13
species,VU,1565,1367,198,12.65
species,"",5315,874,4441,83.56
speciesAggregate,CR,1,1,0,0
speciesAggregate,DD,1,1,0,0
speciesAggregate,NT,2,2,0,0
speciesAggregate,VU,4,2,2,50
speciesAggregate,"",30,6,24,80
subspecies,CR,1,1,0,0
subspecies,DD,3,2,1,33.33
subspecies,EN,12,11,1,8.33
subspecies,NT,25,25,0,0
subspecies,RE,5,5,0,0
subspecies,VU,21,21,0,0
subspecies,"",197,140,57,28.93
unranked,CR,1,1,0,0
unranked,EN,1,1,0,0
unranked,VU,2,1,1,50
unranked,"",2,2,0,0
variety,DD,2,2,0,0
variety,EN,4,4,0,0
variety,NT,5,5,0,0
variety,VU,4,4,0,0
variety,"",24,9,15,62.5
