grid,month,basisofrecord,total_occurrences,n_years
grid10km,1,all,6745103,221
grid10km,8,all,16076154,231
grid10km,11,all,4779599,211
grid10km,6,all,16300319,240
grid10km,5,all,19080395,232
grid10km,9,all,12977010,225
grid10km,7,all,17518615,240
grid10km,10,all,10251234,220
grid10km,4,all,14231650,226
grid10km,12,all,3592332,204
grid10km,3,all,8319001,210
grid10km,2,all,4368462,208
grid50km,1,all,6745103,221
grid50km,8,all,16076154,231
grid50km,11,all,4779599,211
grid50km,6,all,16300319,240
grid50km,9,all,12977010,225
grid50km,5,all,19080395,232
grid50km,7,all,17518615,240
grid50km,10,all,10251234,220
grid50km,4,all,14231650,226
grid50km,12,all,3592332,204
grid50km,3,all,8319001,210
grid50km,2,all,4368462,208
