grid,year,total_occurrences,n_months
grid10km,1914,19425,12
grid10km,1929,24870,12
grid10km,1922,25482,12
grid10km,1935,29500,12
grid10km,1920,17526,12
grid10km,1893,11348,12
grid10km,1967,102539,12
grid10km,1905,15375,12
grid10km,1913,20557,12
grid10km,1988,700738,12
grid10km,1946,32105,12
grid10km,1907,14438,12
grid10km,1933,22896,12
grid10km,1930,27013,12
grid10km,1884,12604,12
grid10km,1909,15135,12
grid10km,1917,19610,12
grid10km,1921,18029,12
grid10km,1919,20448,12
grid10km,1923,24197,12
grid10km,1928,28883,12
grid10km,1932,29154,12
grid10km,1939,25121,12
grid10km,1918,20076,12
grid10km,1931,21112,12
grid10km,1943,28898,12
grid10km,1886,12936,12
grid10km,1916,20602,12
grid10km,1924,21921,12
grid10km,1937,39100,12
grid10km,1986,626868,12
grid10km,1969,116609,12
grid10km,1902,13742,12
grid10km,1894,11126,12
grid10km,1892,12242,12
grid10km,1889,13147,12
grid10km,1953,32724,12
grid10km,1949,34819,12
grid10km,1947,31835,12
grid10km,1927,32423,12
grid10km,1934,31071,12
grid10km,1936,20894,12
grid10km,1952,35856,12
grid10km,1890,12743,12
grid10km,1912,18029,12
grid10km,1887,13661,12
grid10km,1881,9124,12
grid10km,1898,12310,12
grid10km,1915,19582,12
grid10km,1891,10667,12
grid10km,1896,9180,12
grid10km,1957,42333,12
grid10km,1904,13438,12
grid10km,1895,10414,12
grid10km,1906,14353,12
grid10km,1885,13293,12
grid10km,1897,10737,12
grid10km,1925,27857,12
grid10km,1954,48910,12
grid10km,1908,14376,12
grid10km,1888,12184,12
grid10km,1944,29603,12
grid10km,1910,17901,12
grid10km,1938,30549,12
grid10km,1977,316316,12
grid10km,1979,280652,12
grid10km,1911,15914,12
grid10km,1940,17734,12
grid10km,1958,34478,12
grid10km,1951,27572,12
grid10km,1968,112559,12
grid10km,1982,450440,12
grid10km,1980,353247,12
grid10km,1970,148465,12
grid10km,1882,11157,12
grid10km,1880,7453,12
grid10km,1945,29428,12
grid10km,1960,54959,12
grid10km,1963,94062,12
grid10km,1989,736360,12
grid10km,1948,34643,12
grid10km,2008,3712272,12
grid10km,1972,216183,12
grid10km,1974,230324,12
grid10km,1996,994332,12
grid10km,1964,100346,12
grid10km,1955,38858,12
grid10km,1956,37219,12
grid10km,1877,6587,12
grid10km,1962,76899,12
grid10km,1971,175460,12
grid10km,1976,327807,12
grid10km,1981,414808,12
grid10km,1966,110123,12
grid10km,1984,564887,12
grid10km,1883,10456,12
grid10km,1879,6559,12
grid10km,1926,32392,12
grid10km,1941,22013,12
grid10km,2011,4169095,12
grid10km,1965,105419,12
grid10km,1978,316572,12
grid10km,1973,221736,12
grid10km,2021,6937143,12
grid10km,1993,1004035,12
grid10km,1975,276014,12
grid10km,2001,1343894,12
grid10km,2002,1524183,12
grid10km,2004,2214378,12
grid10km,1959,45754,12
grid10km,1950,32957,12
grid10km,1827,151,9
grid10km,1961,68564,12
grid10km,2007,3361720,12
grid10km,2005,2365319,12
grid10km,1942,25487,12
grid10km,1871,4390,12
grid10km,2019,6707255,12
grid10km,2023,7226918,12
grid10km,2013,4307797,12
grid10km,2025,7001677,12
grid10km,1999,1016593,12
grid10km,2018,4977430,12
grid10km,2015,4406378,12
grid10km,2020,6726795,12
grid10km,2024,7465457,12
grid10km,2014,4710746,12
grid10km,2017,4866278,12
grid10km,2010,3977273,12
grid10km,1992,873287,12
grid10km,2000,1196999,12
grid10km,1998,1013034,12
grid10km,1990,894391,12
grid10km,1994,937647,12
grid10km,1995,965940,12
grid10km,2022,7160302,12
grid10km,2006,2921769,12
grid10km,2016,4684797,12
grid10km,2009,3842816,12
grid10km,2012,4299181,12
grid10km,1987,597501,12
grid10km,1985,590841,12
grid10km,1983,435357,12
grid10km,2003,1826142,12
grid10km,1991,792697,12
grid10km,1997,987474,12
grid10km,1900,11681,12
grid10km,1811,82,9
grid10km,1817,965,9
grid10km,1842,1622,12
grid10km,1901,10441,12
grid10km,1874,5196,12
grid10km,1899,8830,12
grid10km,1814,1461,9
grid10km,1873,5095,12
grid10km,1819,913,10
grid10km,1834,571,12
grid10km,1825,1880,9
grid10km,1824,419,12
grid10km,1826,1032,11
grid10km,1828,668,10
grid10km,1840,2757,12
grid10km,1841,1780,12
grid10km,1818,1254,9
grid10km,1821,711,8
grid10km,1847,1516,12
grid10km,1903,13244,12
grid10km,1865,4602,12
grid10km,1849,1213,12
grid10km,1861,3710,11
grid10km,1858,2539,12
grid10km,1844,909,12
grid10km,1845,1082,12
grid10km,1816,914,9
grid10km,1843,910,12
grid10km,1860,3753,12
grid10km,1820,418,10
grid10km,1856,2869,12
grid10km,1876,5540,12
grid10km,1848,879,12
grid10km,1866,4397,12
grid10km,1857,2582,12
grid10km,1852,1516,12
grid10km,1823,419,8
grid10km,1867,6016,12
grid10km,1831,277,12
grid10km,1863,4033,12
grid10km,1822,229,10
grid10km,1855,1866,12
grid10km,1864,4848,12
grid10km,1859,5580,12
grid10km,1833,501,12
grid10km,1862,3076,12
grid10km,1815,654,7
grid10km,1829,823,11
grid10km,1810,139,7
grid10km,1800,179,8
grid10km,1835,1253,12
grid10km,1836,1157,12
grid10km,1846,1169,12
grid10km,1868,4348,12
grid10km,1878,5980,12
grid10km,1850,1330,12
grid10km,1832,499,12
grid10km,1853,2311,12
grid10km,1838,460,12
grid10km,1851,1414,12
grid10km,1790,74,8
grid10km,1870,5081,12
grid10km,1875,6034,12
grid10km,1742,9,3
grid10km,1779,4,4
grid10km,1774,51,2
grid10km,1837,537,12
grid10km,1791,6,3
grid10km,1830,270,12
grid10km,1812,39,7
grid10km,1839,458,11
grid10km,1872,5439,12
grid10km,1756,1,1
grid10km,1869,4727,12
grid10km,1773,13,3
grid10km,1854,1315,12
grid10km,1798,5,3
grid10km,1745,29,3
grid10km,1646,1,1
grid10km,1703,1,1
grid10km,1813,44,5
grid10km,1749,5,3
grid10km,1764,3,1
grid10km,1777,1,1
grid10km,1741,17,3
grid10km,1788,1,1
grid10km,1759,1,1
grid10km,1787,2,2
grid10km,1783,6,5
grid10km,1709,1,1
grid10km,1760,1,1
grid10km,1782,6,2
grid10km,1797,4,2
grid10km,1771,3,1
grid10km,1694,1,1
grid10km,1775,1,1
grid10km,1700,1,1
grid10km,1732,3,1
grid10km,1681,1,1
grid10km,1780,5,3
grid10km,1808,21,6
grid10km,1698,1,1
grid10km,1739,1,1
grid10km,1804,27,6
grid10km,1746,2,1
grid10km,1805,8,4
grid10km,1763,1,1
grid10km,1697,1,1
grid10km,1670,1,1
grid10km,1801,23,6
grid10km,1809,151,7
grid10km,1807,54,7
grid10km,1803,15,6
grid10km,1806,39,3
grid10km,1729,3,1
grid10km,1799,2,2
grid10km,1793,1,1
grid10km,1802,17,5
grid10km,1778,2,1
grid10km,1794,1,1
grid10km,1772,1,1
grid10km,1758,1,1
grid10km,1785,1,1
grid10km,1755,1,1
grid10km,1719,1,1
grid50km,1914,19425,12
grid50km,1929,24870,12
grid50km,1922,25482,12
grid50km,1935,29500,12
grid50km,1920,17526,12
grid50km,1893,11348,12
grid50km,1967,102539,12
grid50km,1905,15375,12
grid50km,1913,20557,12
grid50km,1988,700738,12
grid50km,1946,32105,12
grid50km,1907,14438,12
grid50km,1933,22896,12
grid50km,1884,12604,12
grid50km,1909,15135,12
grid50km,1917,19610,12
grid50km,1919,20448,12
grid50km,1921,18029,12
grid50km,1923,24197,12
grid50km,1928,28883,12
grid50km,1930,27013,12
grid50km,1932,29154,12
grid50km,1939,25121,12
grid50km,1918,20076,12
grid50km,1931,21112,12
grid50km,1943,28898,12
grid50km,1886,12936,12
grid50km,1916,20602,12
grid50km,1924,21921,12
grid50km,1937,39100,12
grid50km,1986,626868,12
grid50km,1969,116609,12
grid50km,1902,13742,12
grid50km,1894,11126,12
grid50km,1892,12242,12
grid50km,1889,13147,12
grid50km,1953,32724,12
grid50km,1949,34819,12
grid50km,1947,31835,12
grid50km,1927,32423,12
grid50km,1934,31071,12
grid50km,1936,20894,12
grid50km,1952,35856,12
grid50km,1890,12743,12
grid50km,1912,18029,12
grid50km,1887,13661,12
grid50km,1881,9124,12
grid50km,1898,12310,12
grid50km,1915,19582,12
grid50km,1891,10667,12
grid50km,1896,9180,12
grid50km,1957,42333,12
grid50km,1895,10414,12
grid50km,1904,13438,12
grid50km,1906,14353,12
grid50km,1885,13293,12
grid50km,1897,10737,12
grid50km,1925,27857,12
grid50km,1954,48910,12
grid50km,1908,14376,12
grid50km,1888,12184,12
grid50km,1944,29603,12
grid50km,1910,17901,12
grid50km,1938,30549,12
grid50km,1977,316316,12
grid50km,1979,280652,12
grid50km,1911,15914,12
grid50km,1940,17734,12
grid50km,1958,34478,12
grid50km,1951,27572,12
grid50km,1968,112559,12
grid50km,1982,450440,12
grid50km,1980,353247,12
grid50km,1970,148465,12
grid50km,1882,11157,12
grid50km,1880,7453,12
grid50km,1945,29428,12
grid50km,1960,54959,12
grid50km,1963,94062,12
grid50km,1989,736360,12
grid50km,1948,34643,12
grid50km,2008,3712272,12
grid50km,1972,216183,12
grid50km,1974,230324,12
grid50km,1996,994332,12
grid50km,1964,100346,12
grid50km,1955,38858,12
grid50km,1956,37219,12
grid50km,1877,6587,12
grid50km,1962,76899,12
grid50km,1971,175460,12
grid50km,1976,327807,12
grid50km,1981,414808,12
grid50km,1966,110123,12
grid50km,1984,564887,12
grid50km,1883,10456,12
grid50km,1879,6559,12
grid50km,1926,32392,12
grid50km,1941,22013,12
grid50km,2011,4169095,12
grid50km,1965,105419,12
grid50km,1978,316572,12
grid50km,1973,221736,12
grid50km,2021,6937143,12
grid50km,1993,1004035,12
grid50km,1975,276014,12
grid50km,2001,1343894,12
grid50km,2002,1524183,12
grid50km,2004,2214378,12
grid50km,1959,45754,12
grid50km,1950,32957,12
grid50km,1827,151,9
grid50km,1961,68564,12
grid50km,2007,3361720,12
grid50km,2005,2365319,12
grid50km,1942,25487,12
grid50km,1871,4390,12
grid50km,2018,4977430,12
grid50km,2023,7226918,12
grid50km,2006,2921769,12
grid50km,2017,4866278,12
grid50km,2019,6707255,12
grid50km,2022,7160302,12
grid50km,1994,937647,12
grid50km,2024,7465457,12
grid50km,2016,4684797,12
grid50km,2000,1196999,12
grid50km,2014,4710746,12
grid50km,2020,6726795,12
grid50km,2013,4307797,12
grid50km,2009,3842816,12
grid50km,2015,4406378,12
grid50km,1998,1013034,12
grid50km,2003,1826142,12
grid50km,2012,4299181,12
grid50km,2025,7001677,12
grid50km,1985,590841,12
grid50km,1995,965940,12
grid50km,2010,3977273,12
grid50km,1990,894391,12
grid50km,1991,792697,12
grid50km,1992,873287,12
grid50km,1997,987474,12
grid50km,1836,1157,12
grid50km,1999,1016593,12
grid50km,1983,435357,12
grid50km,1816,914,9
grid50km,1987,597501,12
grid50km,1900,11681,12
grid50km,1874,5196,12
grid50km,1843,910,12
grid50km,1865,4602,12
grid50km,1830,270,12
grid50km,1841,1780,12
grid50km,1861,3710,11
grid50km,1826,1032,11
grid50km,1819,913,10
grid50km,1864,4848,12
grid50km,1853,2311,12
grid50km,1814,1461,9
grid50km,1829,823,11
grid50km,1833,501,12
grid50km,1867,6016,12
grid50km,1834,571,12
grid50km,1828,668,10
grid50km,1800,179,8
grid50km,1815,654,7
grid50km,1847,1516,12
grid50km,1824,419,12
grid50km,1821,711,8
grid50km,1873,5095,12
grid50km,1840,2757,12
grid50km,1901,10441,12
grid50km,1844,909,12
grid50km,1903,13244,12
grid50km,1817,965,9
grid50km,1832,499,12
grid50km,1869,4727,12
grid50km,1856,2869,12
grid50km,1820,418,10
grid50km,1862,3076,12
grid50km,1858,2539,12
grid50km,1825,1880,9
grid50km,1849,1213,12
grid50km,1852,1516,12
grid50km,1851,1414,12
grid50km,1835,1253,12
grid50km,1818,1254,9
grid50km,1839,458,11
grid50km,1842,1622,12
grid50km,1846,1169,12
grid50km,1845,1082,12
grid50km,1823,419,8
grid50km,1868,4348,12
grid50km,1811,82,9
grid50km,1878,5980,12
grid50km,1855,1866,12
grid50km,1860,3753,12
grid50km,1859,5580,12
grid50km,1741,17,3
grid50km,1876,5540,12
grid50km,1875,6034,12
grid50km,1798,5,3
grid50km,1870,5081,12
grid50km,1790,74,8
grid50km,1863,4033,12
grid50km,1872,5439,12
grid50km,1774,51,2
grid50km,1837,537,12
grid50km,1850,1330,12
grid50km,1745,29,3
grid50km,1866,4397,12
grid50km,1899,8830,12
grid50km,1822,229,10
grid50km,1838,460,12
grid50km,1810,139,7
grid50km,1812,39,7
grid50km,1848,879,12
grid50km,1813,44,5
grid50km,1787,2,2
grid50km,1857,2582,12
grid50km,1779,4,4
grid50km,1771,3,1
grid50km,1697,1,1
grid50km,1773,13,3
grid50km,1854,1315,12
grid50km,1742,9,3
grid50km,1780,5,3
grid50km,1681,1,1
grid50km,1703,1,1
grid50km,1782,6,2
grid50km,1756,1,1
grid50km,1805,8,4
grid50km,1791,6,3
grid50km,1809,151,7
grid50km,1749,5,3
grid50km,1670,1,1
grid50km,1700,1,1
grid50km,1760,1,1
grid50km,1801,23,6
grid50km,1698,1,1
grid50km,1646,1,1
grid50km,1783,6,5
grid50km,1831,277,12
grid50km,1759,1,1
grid50km,1764,3,1
grid50km,1788,1,1
grid50km,1804,27,6
grid50km,1763,1,1
grid50km,1739,1,1
grid50km,1732,3,1
grid50km,1746,2,1
grid50km,1709,1,1
grid50km,1808,21,6
grid50km,1797,4,2
grid50km,1694,1,1
grid50km,1777,1,1
grid50km,1775,1,1
grid50km,1807,54,7
grid50km,1772,1,1
grid50km,1806,39,3
grid50km,1758,1,1
grid50km,1799,2,2
grid50km,1803,15,6
grid50km,1802,17,5
grid50km,1729,3,1
grid50km,1719,1,1
grid50km,1794,1,1
grid50km,1793,1,1
grid50km,1785,1,1
grid50km,1778,2,1
grid50km,1755,1,1
